Id,Name,Price,image,Quantity,CategoryId,isNew,isSale
115,iPhone 16 Pro 512GB | Ch�nh h�ng VN/A,34690000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro_2.png,85,1,TRUE,FALSE
116,iPhone 13 256GB | Ch�nh h�ng VN/A,14990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/1/1/11_3_12_2_1_6.jpg,10,1,TRUE,FALSE
117,iPhone 16 Plus 256GB | Ch�nh h�ng VN/A,25890000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-plus-1_1.png,27,1,TRUE,FALSE
118,iPhone 14 Pro Max 256GB | Ch�nh h�ng VN/A,27990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-14-pro-max-256gb.png,26,1,TRUE,FALSE
119,iPhone 15 Pro Max 1TB | Ch�nh h�ng VN/A,36990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-15-pro-256gb_1.png,35,1,TRUE,FALSE
120,iPhone 16e 512GB | Ch�nh h�ng VN/A,25490000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16e-512gb.png,69,1,TRUE,FALSE
121,iPhone 16 Pro 256GB | Ch�nh h�ng VN/A,28690000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro.png,38,1,TRUE,FALSE
122,iPhone 15 Pro 256GB | Ch�nh h�ng VN/A,27490000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-15-pro-256gb.png,59,1,TRUE,FALSE
123,iPhone 12 64GB | Ch�nh h�ng VN/A,7990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-12.png,83,1,TRUE,FALSE
124,iPhone 14 Plus 256GB | Ch�nh h�ng VN/A,20490000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-14-plus_1__2.png,42,1,TRUE,FALSE
125,iPhone 13 Pro Max 256GB | Ch�nh h�ng VN/A,23990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-13-pro-max-256gb.png,68,1,TRUE,FALSE
126,iPhone 14 Pro 256GB | Ch�nh h�ng VN/A,24990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-14-pro-256gb.png,96,1,TRUE,FALSE
